NUM_SUB_KERNELS,SAMPLE_PER_STUDENT,NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
1,10,2308,83,10,YS,7142.0,2.8640434612795542,0,1,0,0,3323,364,1,1,19,7,977.9462668895721
1,10,2308,93,10,YS,7125.0,2.872703325524364,0,1,0,0,2842,334,3,1,21,2,952.7349724769592
1,10,2308,64,10,RR,7001.0,2.7902677959828623,35,0,584,49,14355,456,740,66,8837,248,505.28080320358276
1,10,2308,54,10,RR,6952.999999999999,2.789786719433191,55,0,975,42,16728,444,1181,59,11910,270,416.07090735435486
1,10,2308,74,10,RR,6958.0,2.773328298747176,40,0,511,40,15075,432,669,57,9820,273,372.84226632118225
1,10,2308,84,10,RR,6932.0,2.76455419654981,42,0,731,43,16382,444,950,54,10859,265,386.692768573761
1,10,2308,94,10,RR,6962.0,2.7790783275669932,41,0,637,37,15004,412,802,56,9866,224,376.19112181663513
1,10,2308,64,10,SD,6903.0,2.8179435181885757,107,0,11551,231,52462,565,12475,277,45559,450,100.8584349155426
1,10,2308,54,10,SD,6900.0,2.8399278594350164,121,0,8984,202,47362,540,9894,251,40877,442,101.61196494102478
1,10,2308,84,10,SD,6897.0,2.823514186254393,109,0,9368,225,48950,522,10664,269,42067,440,101.35804390907288
1,10,2308,74,10,SD,6890.999999999999,2.812530076880256,104,0,8438,221,45657,560,9480,277,39308,464,104.38475465774536
1,10,2308,94,10,SD,6901.0,2.8327089129919787,113,0,8613,220,45042,526,9179,264,38843,426,102.14655470848083
1,10,2308,64,10,YS,7158.0,2.8846339129023515,0,1,0,0,3090,389,0,0,11,8,1000.6038062572479
1,10,2308,54,10,YS,7161.0,2.8742549536212008,0,1,0,0,3550,392,0,0,25,7,1032.9807288646698
1,10,2308,84,10,YS,7130.0,2.8722667735558587,0,1,0,0,3398,384,0,0,47,11,976.8443040847778
1,10,2308,74,10,YS,7150.0,2.883497392640677,0,1,0,0,3103,363,2,1,31,10,979.8260505199432
1,10,2308,94,10,YS,7110.0,2.8670177995225923,0,1,0,0,3157,267,0,0,0,0,954.2882957458496
1,10,2308,65,10,RR,6964.0,2.773649714435694,35,0,701,38,14887,397,901,54,9938,256,372.5809121131897
1,10,2308,55,10,RR,6963.0,2.7800997364299835,47,0,445,40,14746,418,644,56,10074,257,372.92630195617676
1,10,2308,85,10,RR,6989.0,2.790871982351431,42,0,608,41,16066,438,788,56,10951,260,388.3107204437256
1,10,2308,95,10,RR,6948.0,2.7887357832157322,52,0,398,30,15168,447,592,46,10177,299,374.45627069473267
